Appid,name,header_image,,developer,,,,categories,genres,steamspy_tags,,positive_ratings,negative_ratings,,median_playtime,,price
211820,Starbound,https://steamcdn-a.akamaihd.net/steam/apps/211820/header.jpg?t=1550079778,,Chucklefish,,,,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop,Action;Adventure;Casual;Indie;RPG,Sandbox;Adventure;Survival,,74162,7816,,2055,,11.99
291550,Brawlhalla,https://steamcdn-a.akamaihd.net/steam/apps/291550/header.jpg?t=1554907013,,Blue Mammoth Games,,,,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards,Action;Free to Play;Indie,Free to Play;Multiplayer;Fighting,,73268,14489,,146,,0
250900,The Binding of Isaac: Rebirth,https://steamcdn-a.akamaihd.net/steam/apps/250900/header.jpg?t=1542143733,,"Nicalis, Inc.",,,,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Indie;Replay Value;Rogue-like,,72830,1840,,3236,,10.99
238960,Path of Exile,https://steamcdn-a.akamaihd.net/steam/apps/238960/header.jpg?t=1552265500,,Grinding Gear Games,,,,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases,Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG,Free to Play;Action RPG;Hack and Slash,,71593,6117,,492,,0
379720,DOOM,https://steamcdn-a.akamaihd.net/steam/apps/379720/header.jpg?t=1533678963,,id Software,,,,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,FPS;Action;Gore,,68536,5156,,560,,14.99
220,Half-Life 2,https://steamcdn-a.akamaihd.net/steam/apps/220/header.jpg?t=1541802014,,Valve,,,,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,Action,FPS;Action;Sci-fi,,67902,2419,,402,,7.19
255710,Cities: Skylines,https://steamcdn-a.akamaihd.net/steam/apps/255710/header.jpg?t=1553171816,,Colossal Order Ltd.,,,,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Simulation;Strategy,City Builder;Simulation;Building,,67553,6005,,444,,22.99
22380,Fallout: New Vegas,https://steamcdn-a.akamaihd.net/steam/apps/22380/header.jpg?t=1533678449,,Obsidian Entertainment,,,,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;RPG,Open World;RPG;Post-apocalyptic,,66756,3149,,1431,,7.99
227940,Heroes & Generals,https://steamcdn-a.akamaihd.net/steam/apps/227940/header.jpg?t=1553867096,,RETO MOTO,,,,Multi-player;Online Multi-Player;MMO;Online Co-op;In-App Purchases,Action;Free to Play;Indie;Massively Multiplayer,Free to Play;World War II;Multiplayer,,65856,34416,,76,,0
431960,Wallpaper Engine,https://steamcdn-a.akamaihd.net/steam/apps/431960/header.jpg?t=1543273391,,Kristjan Skutta,,,,Steam Achievements;Steam Trading Cards;Steam Workshop;Includes level editor,Animation & Modeling;Design & Illustration;Utilities,Utilities;Software;Design & Illustration,,63623,1947,,542,,2.79
